
        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48,        0.48

        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47,        0.47

        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45,        0.45

        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43,        0.43

        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41,        0.41

        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39,        0.39

        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38,        0.38

        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36,        0.36

        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34,        0.34

        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32,        0.32

        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31,        0.31

        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29,        0.29

        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27,        0.27

        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26,        0.26

        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24,        0.24

        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23,        0.23

        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21,        0.21

        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20,        0.20

        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18,        0.18

        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17,        0.17

        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15,        0.15

        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14,        0.14

        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13,        0.13

        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12,        0.12

        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11,        0.11

        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09,        0.09

        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08,        0.08

        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07,        0.07

        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06

        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06,        0.06

        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05,        0.05

        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04,        0.04

        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03

        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03,        0.03

        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02

        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02,        0.02

        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01

        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01

        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01,        0.01

        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00

        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00

        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00,        0.00

